Ano ,UF do Municipio ,Valor FOB (US$) ,Quilograma Liquido
2007 ,Exterior ,214111 ,6160
2007 ,GO ,2514582573 ,4101057291
2007 ,MA ,2005443551 ,10737230243
2007 ,MT ,3230750453 ,9807798327
2007 ,MS ,811649243 ,3991925849
2007 ,MG ,17676912547 ,1,53467E+11
2007 ,Não Declarada ,11658 ,162
2007 ,PA ,7832873547 ,89560261806
2007 ,PB ,248641762 ,416427511
2007 ,PR ,13124120113 ,21459808757
2007 ,PE ,914659598 ,1335998922
2007 ,PI ,51791565 ,26470867
2007 ,RJ ,14670498321 ,28372711384
2007 ,RN ,357570502 ,1024964679
2007 ,RS ,12363904907 ,12662933600
2007 ,RO ,362888373 ,240978267
2007 ,RR ,9710571 ,21546352
2007 ,SC ,8568341104 ,6653345527
2007 ,SP ,56811833743 ,51129892912
2007 ,SE ,141885846 ,1117313099
2007 ,TO ,128697548 ,349946680
2006 ,AC ,23222349 ,29680134
2006 ,Al ,740704044 ,2331306388
2006 ,AP ,138695667 ,888898920
2006 ,AM ,1541705637 ,126357454
2006 ,BA ,6818247284 ,9692845395
2006 ,CE ,993925419 ,697532327
2006 ,DF ,17498448 ,55583943
2006 ,ES ,6842972579 ,51426783897
2006 ,Exterior ,544884 ,1507100
2006 ,GO ,1586615492 ,3226701956
2006 ,MA ,1668429254 ,9758952910
2006 ,MT ,2819126473 ,9851327249
2006 ,MS ,588726230 ,4448754690
2006 ,MG ,14986532631 ,1,34592E+11
2006 ,Não Declarada ,6318 ,95
2006 ,PA ,6530970108 ,83741276313
2006 ,PB ,222078682 ,517047777
2006 ,PR ,10423310194 ,18816968166
2006 ,PE ,746195506 ,1003850728
2006 ,PI ,43851240 ,31970393
2006 ,RJ ,11934164674 ,24496095828
2006 ,RN ,375595684 ,1206826634
2006 ,RS ,10146650048 ,10888744551
2006 ,RO ,299397509 ,219898187
2006 ,RR ,11389128 ,31005570
2006 ,SC ,6898368219 ,5517869384
2006 ,SP ,50935989218 ,49641117908
2006 ,SE ,87835988 ,531181429
2006 ,TO ,158402302 ,485735768
2005 ,AC ,16863139 ,29742109
2005 ,Al ,559650818 ,2167504368
2005 ,AP ,81587774 ,914764625
2005 ,AM ,2184395961 ,187038738
2005 ,BA ,5908061028 ,10520653919
2005 ,CE ,950354388 ,652891627
2005 ,DF ,22258552 ,26927695
2005 ,ES ,5755792433 ,51062264689
2005 ,Exterior ,112816 ,13542
2005 ,GO ,1382837562 ,3937827260
2005 ,MA ,1622757200 ,12198943343
2005 ,MT ,2965023563 ,10727388710
2005 ,MS ,567944774 ,3488566960
2005 ,MG ,12817177398 ,1,25906E+11
2005 ,Não Declarada ,43966291 ,3437084
2005 ,PA ,4586772811 ,74584979329
2005 ,PB ,226653548 ,515440246
2005 ,PR ,9978063680 ,16142383868
2005 ,PE ,720435113 ,1145975979
2005 ,PI ,61985675 ,124608158
2005 ,RJ ,8961041653 ,20621403033
2005 ,RN ,427310437 ,1471683879
2005 ,RS ,9626651078 ,8378276116
2005 ,RO ,229021620 ,316544992
2005 ,RR ,7705815 ,39255161
2005 ,SC ,6368631754 ,5838011138
2005 ,SP ,42313096416 ,44751557162
2005 ,SE ,65996243 ,517837453
2005 ,TO ,145685867 ,552901610
2004 ,AC ,6529217 ,21282088
2004 ,Al ,431743512 ,2121334341
2004 ,AP ,47589028 ,806344067
2004 ,AM ,1158862171 ,197718805
2004 ,BA ,4074719535 ,8197704414
2004 ,CE ,843701110 ,422305687
2004 ,DF ,24445333 ,16559050
2004 ,ES ,4612010312 ,52403201448
2004 ,Exterior ,145177 ,44526
2004 ,GO ,1065123542 ,2742965421
2004 ,MA ,1314655677 ,13122249157
2004 ,MT ,1743755512 ,5360888440
2004 ,MS ,383025366 ,2726526470
2004 ,MG ,9478947251 ,1,13222E+11
2004 ,PA ,3671996261 ,70889688660
2004 ,PB ,204645673 ,445327912
2004 ,PR ,9234623219 ,19920665627
2004 ,PE ,484937236 ,917376285
2004 ,PI ,67811223 ,128372360
2004 ,RJ ,5689991581 ,16715457138
2004 ,RN ,616249397 ,2208321083
2004 ,RS ,9124901831 ,11217294021
2004 ,RO ,153889222 ,243723580
2004 ,RR ,5673926 ,18225577
2004 ,SC ,5514234614 ,5743347322
2004 ,SP ,35004152856 ,45055527681
2004 ,SE ,47690987 ,401658351
2004 ,TO ,115621600 ,369964886
2003 ,AC ,3704020 ,8197822
2003 ,Al ,332152422 ,1860052131
