Ano,Descricao,Total,Quantidade
abr/03,Soja,589979729,2891576437
abr/03,Cafe,94549996,107357046
mai/03,Suco_de_laranja,63846529,38536
mai/03,Soja,689872764,3278170259
mai/03,Cafe,99745271,108077089
jun/03,Suco_de_laranja,29971928,222253
jun/03,Soja,528488368,2507261576
jun/03,Cafe,84196728,92513182
jul/03,Suco_de_laranja,61893576,59637
jul/03,Soja,407959512,1841400423
jul/03,Cafe,82708838,91410130
ago/03,Suco_de_laranja,81549173,391052
ago/03,Soja,539944618,2475310027
ago/03,Cafe,95305699,98831123
set/03,Suco_de_laranja,98219689,690630
set/03,Soja,469804539,2178802743
set/03,Cafe,139228429,139672172
out/03,Suco_de_laranja,87022280,1076829
out/03,Soja,485045099,2115086914
out/03,Cafe,140963756,135613530
nov/03,Suco_de_laranja,40595406,730677
nov/03,Soja,130503767,524312898
nov/03,Cafe,127644594,123046705
dez/03,Suco_de_laranja,143622830,884490
dez/03,Soja,86033383,335508804
dez/03,Cafe,122088210,113279031
jan/04,Suco_de_laranja,53433946,784905
jan/04,Soja,99169681,342799418
jan/04,Cafe,102248345,95559503
fev/04,Suco_de_laranja,26083094,111583
fev/04,Soja,127324531,453477609
fev/04,Cafe,122181071,108082365
mar/04,Suco_de_laranja,66413981,161825
mar/04,Soja,453433518,1580961200
mar/04,Cafe,142163725,117542151
abr/04,Suco_de_laranja,90907237,337962
abr/04,Soja,568559445,2005544830
abr/04,Cafe,116715328,94753984
mai/04,Suco_de_laranja,68797207,160651
mai/04,Soja,738761974,2667730435
mai/04,Cafe,129892820,104734285
jun/04,Suco_de_laranja,71021692,180990
jun/04,Soja,1045129879,3712593617
jun/04,Cafe,131913393,106227331
jul/04,Suco_de_laranja,60818687,330660
jul/04,Soja,658979792,2314085166
jul/04,Cafe,127629971,101206705
ago/04,Suco_de_laranja,62843365,458997
ago/04,Soja,580532355,2002973711
ago/04,Cafe,159912723,132604405
set/04,Suco_de_laranja,74218984,454552
set/04,Soja,647732873,2291493611
set/04,Cafe,154868513,126925006
out/04,Suco_de_laranja,68791916,686530
out/04,Soja,240321675,920481445
out/04,Cafe,183275811,142061886
nov/04,Suco_de_laranja,67390346,19682760
nov/04,Soja,115603969,485045852
nov/04,Cafe,192400009,146533567
dez/04,Suco_de_laranja,78911682,671216
dez/04,Soja,97078959,400230462
dez/04,Cafe,193906438,135991880
jan/05,Suco_de_laranja,52839680,326850
jan/05,Soja,76755882,351945415
jan/05,Cafe,176193310,114107000
fev/05,Suco_de_laranja,87649464,107851
fev/05,Soja,90784746,413762800
fev/05,Cafe,192339915,117357698
mar/05,Suco_de_laranja,76054341,5731572
mar/05,Soja,400654369,1833265308
mar/05,Cafe,243785475,129507587
abr/05,Suco_de_laranja,29624083,680745
abr/05,Soja,613457998,2698128552
abr/05,Cafe,233257580,116713472
mai/05,Suco_de_laranja,64024857,824126
mai/05,Soja,527635325,2297422127
mai/05,Cafe,210799516,107275515
jun/05,Suco_de_laranja,89750304,1656692
jun/05,Soja,695739146,2951573798
jun/05,Cafe,213160445,109094686
jul/05,Suco_de_laranja,53102486,512745
jul/05,Soja,660893436,2690613994
jul/05,Cafe,178974595,93208886
ago/05,Suco_de_laranja,77535168,512557
ago/05,Soja,686761605,2752432407
ago/05,Cafe,248180783,127703531
set/05,Suco_de_laranja,72455631,764513
set/05,Soja,543271447,2203801429
set/05,Cafe,188584214,98391942
out/05,Suco_de_laranja,78805221,1280189
out/05,Soja,441201013,1792146305
out/05,Cafe,221724120,116332327
nov/05,Suco_de_laranja,76613545,1572894
nov/05,Soja,340663805,1359158578
nov/05,Cafe,221760131,117138938
dez/05,Suco_de_laranja,37685039,574650
dez/05,Soja,233947151,952837150
dez/05,Cafe,204210112,109174133
jan/06,Suco_de_laranja,76357981,164430
jan/06,Soja,178997738,716147470
jan/06,Cafe,194381415,100814389
fev/06,Suco_de_laranja,57303510,267737
fev/06,Soja,171610923,720499730
fev/06,Cafe,220060400,108682505
mar/06,Suco_de_laranja,78303487,11469
mar/06,Soja,620410217,2654096632
mar/06,Cafe,222280363,107564639
abr/06,Suco_de_laranja,55544465,38353
abr/06,Soja,653130689,2915020907
abr/06,Cafe,198579198,97592415
mai/06,Suco_de_laranja,111337757,26072
mai/06,Soja,695941023,3170606679
mai/06,Cafe,213171508,105940990
jun/06,Suco_de_laranja,64943420,236877
jun/06,Soja,510385914,2288992125
jun/06,Cafe,194738326,101220050
jul/06,Suco_de_laranja,98205389,357971
jul/06,Soja,978044623,4376614144
jul/06,Cafe,201418704,107672347
ago/06,Suco_de_laranja,72396555,404693
ago/06,Soja,657746849,2901473419
ago/06,Cafe,282485782,147643642
set/06,Suco_de_laranja,66801155,520856
set/06,Soja,449124734,1993138783
set/06,Cafe,284789467,143528465
out/06,Suco_de_laranja,151206842,371089
out/06,Soja,379313988,1681692005
out/06,Cafe,311071765,157459264
nov/06,Suco_de_laranja,106783596,822674
nov/06,Soja,235974241,998322963
nov/06,Cafe,341978544,170197622
dez/06,Suco_de_laranja,103787190,518057
dez/06,Soja,116676618,471107199
dez/06,Cafe,287773871,132535317
jan/07,Suco_de_laranja,193627883,191457
jan/07,Soja,138464515,528506937
jan/07,Cafe,282104796,125312803
fev/07,Suco_de_laranja,53041091,48657
fev/07,Soja,206561696,774834158
fev/07,Cafe,272636613,121419599
mar/07,Suco_de_laranja,113308076,102965
mar/07,Soja,561777651,2054187593
mar/07,Cafe,291641035,129935082
abr/07,Suco_de_laranja,134887647,270538
abr/07,Soja,844895958,3165241394
abr/07,Cafe,258628983,117054834
mai/07,Suco_de_laranja,205326764,263335
mai/07,Soja,825729511,3152426426
mai/07,Cafe,256801132,119514440
jun/07,Suco_de_laranja,134754792,761363
jun/07,Soja,817432365,3074275644
jun/07,Cafe,241757164,111343257
jul/07,Suco_de_laranja,105415681,1324829
jul/07,Soja,859556936,3093335404
jul/07,Cafe,243428952,112271913
ago/07,Suco_de_laranja,140850032,1782191
ago/07,Soja,763424128,2673948181
ago/07,Cafe,278016493,124948085
set/07,Suco_de_laranja,63017974,2956317
set/07,Soja,543682814,1816717965
set/07,Cafe,273692155,119800366
out/07,Suco_de_laranja,154334932,2991133
out/07,Soja,664188525,2024834226
out/07,Cafe,355614503,148816716
nov/07,Suco_de_laranja,116412991,1312812
nov/07,Soja,267529163,788030352
nov/07,Cafe,346184286,141775451
dez/07,Suco_de_laranja,127150355,1133661
dez/07,Soja,190488327,519084965
dez/07,Cafe,302670034,120705351
jan/08,Suco_de_laranja,126379829,514858
jan/08,Soja,250720594,599607207
jan/08,Cafe,286700425,114185729
fev/08,Suco_de_laranja,123880910,645859
fev/08,Soja,186175798,425132139
fev/08,Cafe,322455916,122190149
mar/08,Suco_de_laranja,81050106,141442
mar/08,Soja,561759980,1403944693
mar/08,Cafe,328587726,118245682
abr/08,Suco_de_laranja,142396315,107047
abr/08,Soja,1397622773,3346499944
abr/08,Cafe,328863485,120553966
mai/08,Suco_de_laranja,75303907,33439
mai/08,Soja,1860281570,4442112247
mai/08,Cafe,273201400,100146097
jun/08,Suco_de_laranja,103997557,1013852
jun/08,Soja,1506029479,3544441524
jun/08,Cafe,270436871,100640899
jul/08,Suco_de_laranja,104980147,2124178
jul/08,Soja,1901275553,3981781536
jul/08,Cafe,282122937,105424553
ago/08,Suco_de_laranja,68236085,2919356
ago/08,Soja,1219805263,2358357215
ago/08,Cafe,330624343,121747495
set/08,Suco_de_laranja,57828203,2516703
set/08,Soja,900387877,1862074413
set/08,Cafe,441403388,159548250
out/08,Suco_de_laranja,92692487,3610777
out/08,Soja,524600381,1061519150
out/08,Cafe,475489531,178451198
