Ano,Descricao,Total,Quilograma
dez/16,Suco_de_laranja,95154359,47546770
jan/17,Suco_de_laranja,38964261,19297413
fev/17,Suco_de_laranja,37032407,20331872
mar/17,Suco_de_laranja,52082591,30190376
abr/17,Suco_de_laranja,47282377,25029632
mai/17,Suco_de_laranja,92345281,52210371
jun/17,Suco_de_laranja,52529417,28181483
jul/17,Suco_de_laranja,60110617,32102384
ago/17,Suco_de_laranja,69472395,38014086
set/17,Suco_de_laranja,85829572,57214364
out/17,Suco_de_laranja,104044743,56187965
nov/17,Suco_de_laranja,107323622,60461208
dez/17,Suco_de_laranja,93146370,51295338
jan/18,Suco_de_laranja,68163895,35049984
fev/18,Suco_de_laranja,87687614,49267026
mar/18,Suco_de_laranja,96113406,52688053
abr/18,Suco_de_laranja,52637826,29662488
mai/18,Suco_de_laranja,129676287,71538804
jun/18,Suco_de_laranja,91123440,47940852
jul/18,Suco_de_laranja,41896809,21918572
ago/18,Suco_de_laranja,57861226,29170572
set/18,Suco_de_laranja,39708329,19784380
out/18,Suco_de_laranja,43765301,22602341
nov/18,Suco_de_laranja,52566460,26543137
dez/18,Suco_de_laranja,117951620,60544000
jan/19,Suco_de_laranja,31701207,16006743
fev/19,Suco_de_laranja,43385288,22226408
mar/19,Suco_de_laranja,51359527,26383421
abr/19,Suco_de_laranja,34471496,18344134
mai/19,Suco_de_laranja,55750682,29081742
jun/19,Suco_de_laranja,44982872,24506937
jul/19,Suco_de_laranja,43900565,26061625
ago/19,Suco_de_laranja,76189058,44709558
set/19,Suco_de_laranja,41303980,24875622
out/19,Suco_de_laranja,62505493,38276443
nov/19,Suco_de_laranja,124952727,71701791
dez/19,Suco_de_laranja,51050022,32131814
jan/20,Suco_de_laranja,44305930,27736600
fev/20,Suco_de_laranja,43837905,28943077
mar/20,Suco_de_laranja,56770184,38171189
abr/20,Suco_de_laranja,31084237,21929808
mai/20,Suco_de_laranja,69416729,49614567
jun/20,Suco_de_laranja,37832324,29385159
jul/20,Suco_de_laranja,34872360,26176344
ago/20,Suco_de_laranja,48952778,37417727
set/20,Suco_de_laranja,26971511,21070612
out/20,Suco_de_laranja,45868236,34779165
nov/20,Suco_de_laranja,61934047,44994692
dez/20,Suco_de_laranja,42417659,31399837
jan/21,Suco_de_laranja,45965717,33196394
fev/21,Suco_de_laranja,42323108,29759443
mar/21,Suco_de_laranja,44325397,31175179
abr/21,Suco_de_laranja,55330598,42666639
mai/21,Suco_de_laranja,37599829,26331721
jun/21,Suco_de_laranja,33559869,23065424
jul/21,Suco_de_laranja,44391316,31991667
ago/21,Suco_de_laranja,42869861,31352151
set/21,Suco_de_laranja,52515531,37054110
out/21,Suco_de_laranja,45075981,30619083
nov/21,Suco_de_laranja,36286851,23720471
dez/21,Suco_de_laranja,51423001,33569723
jan/22,Suco_de_laranja,52477264,33873599
fev/22,Suco_de_laranja,40411801,27137428
mar/22,Suco_de_laranja,36464815,23352150
abr/22,Suco_de_laranja,50308434,31421392
mai/22,Suco_de_laranja,40526808,25868798
jun/22,Suco_de_laranja,63909674,38510628
jul/22,Suco_de_laranja,49082505,29402983
ago/22,Suco_de_laranja,30797715,19372862
