VALORES CORRENTES;;;;;;;;;;;;;;;;;;;;;;;
(1.000.000 R$);;;;;;;;;;;;;;;;;;;;;;;
Período;AGROPECUÁRIA;INDÚSTRIA;;;;;SERVIÇOS;;;;;;;;VA;Imposto;PIB;Consumo das Famílias;Consumo do Governo;Formação Bruta de Capital Fixo;Variação de Estoques;Exportação;Importação
;Total;Indústrias extrativas;Indústrias de transformação;Eletricidade e gás, água, esgoto, ativ. de gestão de resíduos;Construção;Total;Comércio;Transporte, armazenagem e correio;Informação e comunicação ;Atividades financeiras, de seguros e serviços relacionados;Atividades Imobiliárias;Outras atividades de serviços;Adm., defesa, saúde e educação públicas e seguridade social;Total;;;;;;;;;
1998.I;11.869;1.383;28.092;6.249;16.730;52.455;14.963;5.399;8.065;18.101;30.036;34.227;31.326;142.118;206.441;29.259;235.701;157.103;46.994;45.595;-8.376;16.099;21.714
1998.II;14.202;1.122;33.171;6.137;17.952;58.383;16.934;6.724;8.272;17.206;31.042;35.131;33.247;148.554;221.139;30.797;251.936;159.194;49.307;48.379;-853;18.805;22.896
1998.III;13.143;1.354;32.582;6.203;17.973;58.112;17.432;8.718;8.383;21.561;31.413;36.224;33.032;156.762;228.016;30.027;258.043;163.447;49.839;47.636;3.701;18.786;25.366
1998.IV;8.399;1.632;27.992;6.082;17.052;52.759;16.607;8.219;9.210;22.707;32.438;35.006;41.001;165.189;226.347;30.324;256.671;163.187;55.037;44.249;1.743;16.781;24.326
1998;47.612;5.492;121.837;24.671;69.707;221.708;65.936;29.060;33.929;79.575;124.929;140.588;138.606;612.623;881.943;120.408;1.002.351;642.931;201.177;185.859;-3.785;70.470;94.302
1999.I;14.190;1.560;26.995;6.531;15.919;51.004;15.395;6.145;9.602;17.731;29.215;39.522;33.877;151.486;216.680;33.988;250.668;164.893;48.863;44.121;-3.515;22.153;25.847
1999.II;13.487;1.562;37.291;6.673;16.952;62.478;17.624;6.282;9.022;16.831;30.344;41.053;35.928;157.083;233.048;35.661;268.709;170.252;51.749;47.152;3.829;24.728;29.001
1999.III;11.736;2.243;34.583;7.361;16.958;61.145;18.217;7.840;7.601;21.311;31.427;42.058;35.880;164.335;237.216;36.910;274.126;178.811;53.944;46.383;312;27.646;32.971
1999.IV;11.121;2.601;35.012;7.229;17.072;61.915;20.359;9.267;7.583;22.638;32.723;44.951;44.417;181.938;254.974;39.234;294.208;189.576;60.623;47.432;3.434;29.511;36.368
1999;50.535;7.967;133.881;27.793;66.900;236.541;71.594;29.534;33.807;78.511;123.709;167.584;150.102;654.841;941.918;145.793;1.087.710;703.532;215.178;185.088;4.060;104.038;124.187
2000.I;16.347;2.956;35.034;7.446;16.949;62.386;18.519;7.423;11.633;16.057;30.302;39.855;36.254;160.044;238.777;38.150;276.927;176.025;49.216;56.887;-497;26.402;31.107
2000.II;15.218;2.843;41.600;7.537;18.484;70.463;20.039;8.688;10.670;15.132;30.842;42.838;38.673;166.882;252.563;40.225;292.789;189.996;52.695;53.911;931;30.239;34.983
2000.III;15.178;3.661;40.582;8.376;18.470;71.089;22.196;11.059;10.383;19.309;31.578;45.941;38.448;178.914;265.181;43.715;308.896;200.012;54.588;53.879;6.805;33.768;40.155
2000.IV;10.220;4.767;40.281;9.007;17.877;71.932;22.877;10.704;11.457;19.991;33.434;45.729;48.462;192.653;274.805;45.675;320.481;208.493;68.544;54.811;-61;31.756;43.062
2000;56.962;14.227;157.497;32.366;71.780;275.871;83.631;37.875;44.143;70.489;126.155;174.363;161.837;698.493;1.031.326;167.766;1.199.092;774.526;225.044;219.488;7.178;122.164;149.308
