"Ano,Mes,""Codigo SH4"",""Descrição SH4"",""Valor FOB (US$)"""
"2007,11,1201,""Soja, mesmo triturada"",267529163"
"2007,02,1201,""Soja, mesmo triturada"",206561696"
"2007,12,1201,""Soja, mesmo triturada"",190488327"
"2007,01,1201,""Soja, mesmo triturada"",138464515"
"2006,07,1201,""Soja, mesmo triturada"",978044623"
"2006,05,1201,""Soja, mesmo triturada"",695941023"
"2006,08,1201,""Soja, mesmo triturada"",657746849"
"2006,04,1201,""Soja, mesmo triturada"",653130689"
"2006,03,1201,""Soja, mesmo triturada"",620410217"
"2006,06,1201,""Soja, mesmo triturada"",510385914"
"2006,09,1201,""Soja, mesmo triturada"",449124734"
"2006,10,1201,""Soja, mesmo triturada"",379313988"
"2006,11,1201,""Soja, mesmo triturada"",235974241"
"2006,01,1201,""Soja, mesmo triturada"",178997738"
"2006,02,1201,""Soja, mesmo triturada"",171610923"
"2006,12,1201,""Soja, mesmo triturada"",116676618"
"2005,06,1201,""Soja, mesmo triturada"",695739146"
"2005,08,1201,""Soja, mesmo triturada"",686761605"
"2005,07,1201,""Soja, mesmo triturada"",660893436"
"2005,04,1201,""Soja, mesmo triturada"",613457998"
"2005,09,1201,""Soja, mesmo triturada"",543271447"
"2005,05,1201,""Soja, mesmo triturada"",527635325"
"2005,10,1201,""Soja, mesmo triturada"",441201013"
"2005,03,1201,""Soja, mesmo triturada"",400654369"
"2005,11,1201,""Soja, mesmo triturada"",340663805"
"2005,12,1201,""Soja, mesmo triturada"",233947151"
"2005,02,1201,""Soja, mesmo triturada"",90784746"
"2005,01,1201,""Soja, mesmo triturada"",76755882"
"2004,06,1201,""Soja, mesmo triturada"",1045129879"
"2004,05,1201,""Soja, mesmo triturada"",738761974"
"2004,07,1201,""Soja, mesmo triturada"",658979792"
"2004,09,1201,""Soja, mesmo triturada"",647732873"
"2004,08,1201,""Soja, mesmo triturada"",580532355"
"2004,04,1201,""Soja, mesmo triturada"",568559445"
"2004,03,1201,""Soja, mesmo triturada"",453433518"
"2004,10,1201,""Soja, mesmo triturada"",240321675"
"2004,02,1201,""Soja, mesmo triturada"",127324531"
"2004,11,1201,""Soja, mesmo triturada"",115603969"
"2004,01,1201,""Soja, mesmo triturada"",99169681"
"2004,12,1201,""Soja, mesmo triturada"",97078959"
"2003,05,1201,""Soja, mesmo triturada"",689872764"
"2003,04,1201,""Soja, mesmo triturada"",589979729"
"2003,08,1201,""Soja, mesmo triturada"",539944618"
"2003,06,1201,""Soja, mesmo triturada"",528488368"
"2003,10,1201,""Soja, mesmo triturada"",485045099"
"2003,09,1201,""Soja, mesmo triturada"",469804539"
"2003,07,1201,""Soja, mesmo triturada"",407959512"
"2003,03,1201,""Soja, mesmo triturada"",267833468"
"2003,11,1201,""Soja, mesmo triturada"",130503767"
"2003,12,1201,""Soja, mesmo triturada"",86033383"
"2003,01,1201,""Soja, mesmo triturada"",50676231"
